epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.357,2.10015,5.26567,1.97709,0.00827,0.33294,0.02517,0.01185,1.61921,4.77706,1.59537,0.00822222,0.000197531,0.000197531
2,298.326,1.64147,4.3178,1.5996,0.54256,0.16631,0.08915,0.04972,1.53955,4.11699,1.62884,0.00641825,0.000393556,0.000393556
3,466.28,1.61308,3.91972,1.60315,0.53758,0.08499,0.06653,0.04048,1.63852,4.10483,1.72575,0.00461027,0.000585581,0.000585581
4,622.281,1.54915,3.62042,1.58842,0.3171,0.24419,0.12799,0.07445,1.41006,3.95387,1.54471,0.0027983,0.000773607,0.000773607
5,771.092,1.52549,3.49572,1.56377,0.28532,0.34154,0.21327,0.12726,1.36559,3.60803,1.55082,0.000982325,0.000957634,0.000957634
6,920.437,1.42976,3.29469,1.54696,0.25478,0.27285,0.19961,0.12016,1.43492,3.51583,1.68109,0.000950005,0.000950005,0.000950005
7,1068.08,1.3759,3.09871,1.48913,0.68784,0.17222,0.19718,0.12358,1.32937,3.36556,1.54793,0.000940006,0.000940006,0.000940006
8,1227.34,1.35418,3.00735,1.49023,0.57126,0.32445,0.32463,0.20718,1.19295,2.87428,1.48026,0.000930007,0.000930007,0.000930007
9,1393.43,1.33535,2.93996,1.46375,0.52263,0.31339,0.29731,0.16786,1.34691,3.34698,1.52157,0.000920008,0.000920008,0.000920008
10,1556.52,1.31615,2.8427,1.47023,0.46485,0.43484,0.36534,0.22845,1.1597,2.58902,1.44497,0.000910009,0.000910009,0.000910009
11,1720.08,1.28566,2.71919,1.45283,0.50376,0.36583,0.37356,0.23862,1.28901,2.68639,1.56197,0.00090001,0.00090001,0.00090001
12,1915.1,1.27803,2.61244,1.45172,0.46819,0.43975,0.40575,0.24684,1.25922,2.52768,1.52677,0.000890011,0.000890011,0.000890011
13,2120.02,1.27863,2.55657,1.4349,0.5337,0.34635,0.43832,0.24754,1.41474,2.54332,1.70004,0.000880012,0.000880012,0.000880012
14,2356.54,1.23406,2.50044,1.43175,0.36846,0.47998,0.42513,0.25089,1.3221,2.44578,1.59401,0.000870013,0.000870013,0.000870013
15,2545.74,1.24264,2.45385,1.4125,0.37011,0.64632,0.53414,0.32954,1.16546,2.18409,1.48775,0.000860014,0.000860014,0.000860014
16,2718.52,1.17355,2.33764,1.38565,0.53645,0.48672,0.50913,0.30885,1.17665,2.40673,1.5295,0.000850015,0.000850015,0.000850015
17,2892.64,1.19196,2.32031,1.40487,0.4317,0.57226,0.50459,0.29656,1.22582,2.27194,1.5267,0.000840016,0.000840016,0.000840016
18,3079.33,1.20485,2.3221,1.40096,0.43941,0.49849,0.43635,0.23996,1.41827,2.31456,1.5956,0.000830017,0.000830017,0.000830017
19,3293.07,1.18441,2.19604,1.37661,0.59711,0.52576,0.64365,0.37552,1.13768,1.92046,1.41271,0.000820018,0.000820018,0.000820018
20,3515.43,1.17562,2.17072,1.37386,0.40829,0.55196,0.5195,0.30399,1.30208,2.17497,1.57668,0.000810019,0.000810019,0.000810019
21,3746.49,1.18961,2.17681,1.36256,0.53959,0.54898,0.58559,0.35854,1.25877,1.9554,1.54799,0.00080002,0.00080002,0.00080002
22,3915.61,1.13178,2.07523,1.34427,0.44883,0.50209,0.50843,0.30876,1.32968,2.19313,1.6411,0.000790021,0.000790021,0.000790021
23,4099.76,1.15387,2.10145,1.37126,0.59671,0.57859,0.6218,0.38376,1.15889,1.89128,1.44975,0.000780022,0.000780022,0.000780022
24,4276.9,1.14769,2.04019,1.34343,0.53161,0.65596,0.66038,0.38156,1.12785,1.86414,1.42792,0.000770023,0.000770023,0.000770023
25,4437.31,1.10709,1.98075,1.33694,0.47378,0.5459,0.51528,0.31618,1.31923,2.00997,1.65445,0.000760024,0.000760024,0.000760024
26,4640.12,1.10701,1.94656,1.31398,0.52384,0.60647,0.6112,0.36538,1.23007,1.88117,1.53151,0.000750025,0.000750025,0.000750025
27,4844.62,1.10817,1.92797,1.3161,0.5283,0.68754,0.68932,0.44971,1.15157,1.75628,1.4275,0.000740026,0.000740026,0.000740026
28,5052.17,1.11218,1.96757,1.33867,0.51891,0.6262,0.61644,0.35407,1.21558,1.8,1.4828,0.000730027,0.000730027,0.000730027
29,5236.27,1.06532,1.93166,1.31881,0.54272,0.60074,0.62223,0.3615,1.20208,1.74736,1.47348,0.000720028,0.000720028,0.000720028
30,5409.73,1.07287,1.90307,1.30739,0.53734,0.63141,0.637,0.3747,1.21976,1.76167,1.50409,0.000710029,0.000710029,0.000710029
